original,new
UTC,UTC
Date,Date
aimms_Lat,Latitude
aimms_Lon,Longitude
aimms_Alt,Altitude
aimms_Temperature,Temperature
aimms_Humidity,Rel_humidity
aimms_Pressure,Pressure
aimms_v_w,U
aimms_u_w,V
aimms_w_w,W
,Supersaturation
,Number_Concentration
cpc_CPC_Conc_3025,CNgt3nm
cpc_CPC_Conc_isok,CNgt10nm
,BC_Mass
pvm_LWC,LWC
fcdp_C:0-1.5,cbin1
fcdp_C:1.5-3,cbin2
fcdp_C:3-4.5,cbin3
fcdp_C:4.5-6,cbin4
fcdp_C:6-8,cbin5
fcdp_C:8-10,cbin6
fcdp_C:10-12,cbin7
fcdp_C:12-14,cbin8
fcdp_C:14-16,cbin9
fcdp_C:16-18,cbin10
fcdp_C:18-21,cbin11
fcdp_C:21-24,cbin12
fcdp_C:24-27,cbin13
fcdp_C:27-30,cbin14
fcdp_C:30-33,cbin15
fcdp_C:33-36,cbin16
fcdp_C:36-39,cbin17
fcdp_C:39-42,cbin18
fcdp_C:42-46,cbin19
fcdp_C:46-50,cbin20
fcdp_C:50-150,cbin21
pcasp_0.105,bin1
pcasp_0.115,bin2
pcasp_0.125,bin3
pcasp_0.135,bin4
pcasp_0.145,bin5
pcasp_0.155,bin6
pcasp_0.165,bin7
pcasp_0.175,bin8
pcasp_0.19,bin9
pcasp_0.21,bin10
pcasp_0.23,bin11
pcasp_0.25,bin12
pcasp_0.27,bin13
pcasp_0.29,bin14
pcasp_0.35,bin15
pcasp_0.45,bin16
pcasp_0.55,bin17
pcasp_0.7,bin18
pcasp_0.9,bin19
pcasp_1.1,bin20
pcasp_1.3,bin21
pcasp_1.5,bin22
pcasp_1.7,bin23
pcasp_1.9,bin24
pcasp_2.1,bin25
pcasp_2.3,bin26
pcasp_2.5,bin27
pcasp_2.7,bin28
pcasp_2.9,bin29
pcasp_3.1,bin30
,Sc450_total
,Sc550_total
,Sc700_total
,Abs470_total
,Abs532_total
,Abs660_total
