original,new
UTC,UTC
Date,Date
iwg1_Lat,Latitude
iwg1_Lon,Longitude
iwg1_GPS_MSL_Alt,Altitude
iwg1_Total_Temp,Temperature
iwg1_RH_water,Rel_humidity
iwg1_Static_Press,Pressure
,U
,V
iwg1_Vert_Wind_Spd,W
ccn_SS_A,Supersaturation
ccn_CCN_Conc_A,Number_Concentration
cpc_CPC_Conc_3025,CNgt3nm
cpc_CPC_Conc_3010,CNgt10nm
sp2_SP2_rBC_conc,BC_Mass
wcm_WCM_083,LWC
cas_0.575,cbin1
cas_0.645,cbin2
cas_0.715,cbin3
cas_0.785,cbin4
cas_0.855,cbin5
cas_0.925,cbin6
cas_0.995,cbin7
cas_1.065,cbin8
cas_1.135,cbin9
cas_1.21,cbin10
cas_1.375,cbin11
cas_1.75,cbin12
cas_2.25,cbin13
cas_2.75,cbin14
cas_3.25,cbin15
cas_3.75,cbin16
cas_4.5,cbin17
cas_5.75,cbin18
cas_6.85,cbin19
cas_7.55,cbin20
cas_9.05,cbin21
cas_11.35,cbin22
cas_13.75,cbin23
cas_17.5,cbin24
cas_22.5,cbin25
cas_27.5,cbin26
cas_32.5,cbin27
cas_37.5,cbin28
cas_42.5,cbin29
cas_47.5,cbin30
uhsas_0.061,bin1
uhsas_0.063,bin2
uhsas_0.065,bin3
uhsas_0.067,bin4
uhsas_0.068,bin5
uhsas_0.070,bin6
uhsas_0.072,bin7
uhsas_0.075,bin8
uhsas_0.077,bin9
uhsas_0.079,bin10
uhsas_0.081,bin11
uhsas_0.084,bin12
uhsas_0.086,bin13
uhsas_0.088,bin14
uhsas_0.091,bin15
uhsas_0.094,bin16
uhsas_0.096,bin17
uhsas_0.099,bin18
uhsas_0.102,bin19
uhsas_0.105,bin20
uhsas_0.108,bin21
uhsas_0.111,bin22
uhsas_0.114,bin23
uhsas_0.118,bin24
uhsas_0.121,bin25
uhsas_0.124,bin26
uhsas_0.128,bin27
uhsas_0.132,bin28
uhsas_0.135,bin29
uhsas_0.139,bin30
uhsas_0.143,bin31
uhsas_0.147,bin32
uhsas_0.152,bin33
uhsas_0.156,bin34
uhsas_0.161,bin35
uhsas_0.165,bin36
uhsas_0.170,bin37
uhsas_0.175,bin38
uhsas_0.180,bin39
uhsas_0.185,bin40
uhsas_0.190,bin41
uhsas_0.196,bin42
uhsas_0.202,bin43
uhsas_0.207,bin44
uhsas_0.213,bin45
uhsas_0.220,bin46
uhsas_0.226,bin47
uhsas_0.232,bin48
uhsas_0.239,bin49
uhsas_0.246,bin50
uhsas_0.253,bin51
uhsas_0.260,bin52
uhsas_0.268,bin53
uhsas_0.276,bin54
uhsas_0.284,bin55
uhsas_0.292,bin56
uhsas_0.300,bin57
uhsas_0.309,bin58
uhsas_0.318,bin59
uhsas_0.327,bin60
uhsas_0.336,bin61
uhsas_0.346,bin62
uhsas_0.356,bin63
uhsas_0.366,bin64
uhsas_0.377,bin65
uhsas_0.388,bin66
uhsas_0.399,bin67
uhsas_0.410,bin68
uhsas_0.422,bin69
uhsas_0.434,bin70
uhsas_0.447,bin71
uhsas_0.460,bin72
uhsas_0.473,bin73
uhsas_0.487,bin74
uhsas_0.501,bin75
uhsas_0.515,bin76
uhsas_0.530,bin77
uhsas_0.545,bin78
uhsas_0.561,bin79
uhsas_0.577,bin80
uhsas_0.594,bin81
uhsas_0.611,bin82
uhsas_0.628,bin83
uhsas_0.647,bin84
uhsas_0.665,bin85
uhsas_0.684,bin86
uhsas_0.704,bin87
uhsas_0.724,bin88
uhsas_0.745,bin89
uhsas_0.767,bin90
uhsas_0.789,bin91
psap_tbs_tr_corr,Sc450_total
psap_tgs_tr_corr,Sc550_total
psap_trs_tr_corr,Sc700_total
psap_tba_corr,Abs470_total
psap_tga_corr,Abs532_total
psap_tra_corr,Abs660_total
