original,new
UTC,UTC
Date,Date
iwg1_Lat,Latitude
iwg1_Lon,Longitude
iwg1_GPS_MSL_Alt,Altitude
iwg1_Total_Temp,Temperature
iwg1_RH_water,Rel_humidity
iwg1_Static_Press,Pressure
metaims_wind_u,U
metaims_wind_v,V
metaims_wind_w,W
ccn_CCN_supersaturation_set_point_1,Supersaturation
ccn_N_CCN_1,Number_Concentration
,CNgt3nm
,CNgt10nm
sp2rbc_rBC,BC_Mass
pvm_LWC,LWC
fcdp_number_concentration_0.0-1.5,cbin1
fcdp_number_concentration_1.5-3.0,cbin2
fcdp_number_concentration_3.0-4.5,cbin3
fcdp_number_concentration_4.5-6.0,cbin4
fcdp_number_concentration_6.0-8.0,cbin5
fcdp_number_concentration_8.0-10.0,cbin6
fcdp_number_concentration_10.0-12.0,cbin7
fcdp_number_concentration_12.0-14.0,cbin8
fcdp_number_concentration_14.0-16.0,cbin9
fcdp_number_concentration_16.0-18.0,cbin10
fcdp_number_concentration_18.0-21.0,cbin11
fcdp_number_concentration_21.0-24.0,cbin12
fcdp_number_concentration_24.0-27.0,cbin13
fcdp_number_concentration_27.0-30.0,cbin14
fcdp_number_concentration_30.0-33.0,cbin15
fcdp_number_concentration_33.0-36.0,cbin16
fcdp_number_concentration_36.0-39.0,cbin17
fcdp_number_concentration_39.0-42.0,cbin18
fcdp_number_concentration_42.0-46.0,cbin19
fcdp_number_concentration_46.0-50.0,cbin20
fcdp_number_concentration_50.0-150.0,cbin21
uhsas_0.061,bin1
uhsas_0.063,bin2
uhsas_0.064,bin3
uhsas_0.066,bin4
uhsas_0.068,bin5
uhsas_0.070,bin6
uhsas_0.072,bin7
uhsas_0.074,bin8
uhsas_0.076,bin9
uhsas_0.079,bin10
uhsas_0.081,bin11
uhsas_0.083,bin12
uhsas_0.086,bin13
uhsas_0.088,bin14
uhsas_0.091,bin15
uhsas_0.093,bin16
uhsas_0.096,bin17
uhsas_0.099,bin18
uhsas_0.102,bin19
uhsas_0.104,bin20
uhsas_0.107,bin21
uhsas_0.111,bin22
uhsas_0.114,bin23
uhsas_0.117,bin24
uhsas_0.120,bin25
uhsas_0.124,bin26
uhsas_0.127,bin27
uhsas_0.131,bin28
uhsas_0.135,bin29
uhsas_0.139,bin30
uhsas_0.143,bin31
uhsas_0.147,bin32
uhsas_0.151,bin33
uhsas_0.155,bin34
uhsas_0.160,bin35
uhsas_0.165,bin36
uhsas_0.169,bin37
uhsas_0.174,bin38
uhsas_0.179,bin39
uhsas_0.184,bin40
uhsas_0.190,bin41
uhsas_0.195,bin42
uhsas_0.201,bin43
uhsas_0.207,bin44
uhsas_0.213,bin45
uhsas_0.219,bin46
uhsas_0.225,bin47
uhsas_0.231,bin48
uhsas_0.238,bin49
uhsas_0.245,bin50
uhsas_0.252,bin51
uhsas_0.259,bin52
uhsas_0.267,bin53
uhsas_0.274,bin54
uhsas_0.282,bin55
uhsas_0.291,bin56
uhsas_0.299,bin57
uhsas_0.308,bin58
uhsas_0.316,bin59
uhsas_0.325,bin60
uhsas_0.335,bin61
uhsas_0.345,bin62
uhsas_0.354,bin63
uhsas_0.365,bin64
uhsas_0.375,bin65
uhsas_0.386,bin66
uhsas_0.397,bin67
uhsas_0.409,bin68
uhsas_0.420,bin69
uhsas_0.432,bin70
uhsas_0.445,bin71
uhsas_0.458,bin72
uhsas_0.471,bin73
uhsas_0.485,bin74
uhsas_0.499,bin75
uhsas_0.513,bin76
uhsas_0.528,bin77
uhsas_0.543,bin78
uhsas_0.559,bin79
uhsas_0.575,bin80
uhsas_0.591,bin81
uhsas_0.608,bin82
uhsas_0.626,bin83
uhsas_0.644,bin84
uhsas_0.662,bin85
uhsas_0.681,bin86
uhsas_0.701,bin87
uhsas_0.721,bin88
uhsas_0.742,bin89
uhsas_0.763,bin90
uhsas_0.785,bin91
uhsas_0.808,bin92
uhsas_0.831,bin93
uhsas_0.855,bin94
uhsas_0.880,bin95
uhsas_0.905,bin96
uhsas_0.932,bin97
uhsas_0.958,bin98
uhsas_0.986,bin99
neph_Bs_B,Sc450_total
neph_Bs_G,Sc550_total
neph_Bs_R,Sc700_total
psap_Ba_B_Weiss,Abs470_total
psap_Ba_G_Weiss,Abs532_total
psap_Ba_R_Weiss,Abs660_total
