original,new
UTC,UTC
Date,Date
aimms_GPS Latitude,Latitude
aimms_GPS Longitude,Longitude
aimms_GPS Altitude,Altitude
aimms_Temperature,Temperature
aimms_Humidity,Rel_humidity
aimms_Barometric Pressure,Pressure
aimms_v_w - East Wind Component,U
aimms_u_w - North Wind Component,V
aimms_w_w - Vertical Wind Component,W
ccn_SS_A,Supersaturation
ccn_CCN_Conc_A,Number_Concentration
cpc_CPC_Conc_3025,CNgt3nm
cpc_CPC_Conc_3010,CNgt10nm
,BC_Mass
wcm_WCM_083(g/m3),LWC
cdp_C:2-3,cbin1
cdp_C:3-4,cbin2
cdp_C:4-5,cbin3
cdp_C:5-6,cbin4
cdp_C:6-7,cbin5
cdp_C:7-8,cbin6
cdp_C:8-9,cbin7
cdp_C:9-10,cbin8
cdp_C:10-11,cbin9
cdp_C:11-12,cbin10
cdp_C:12-13,cbin11
cdp_C:13-14,cbin12
cdp_C:14-16,cbin13
cdp_C:16-18,cbin14
cdp_C:18-20,cbin15
cdp_C:20-22,cbin16
cdp_C:22-24,cbin17
cdp_C:24-26,cbin18
cdp_C:26-28,cbin19
cdp_C:28-30,cbin20
cdp_C:30-32,cbin21
cdp_C:32-34,cbin22
cdp_C:34-36,cbin23
cdp_C:36-38,cbin24
cdp_C:38-40,cbin25
cdp_C:40-42,cbin26
cdp_C:42-44,cbin27
cdp_C:44-46,cbin28
cdp_C:46-48,cbin29
cdp_C:48-50,cbin30
uhsas_0.068,bin1
uhsas_0.07,bin2
uhsas_0.072,bin3
uhsas_0.074,bin4
uhsas_0.076,bin5
uhsas_0.078,bin6
uhsas_0.08,bin7
uhsas_0.083,bin8
uhsas_0.085,bin9
uhsas_0.087,bin10
uhsas_0.09,bin11
uhsas_0.092,bin12
uhsas_0.095,bin13
uhsas_0.098,bin14
uhsas_0.101,bin15
uhsas_0.104,bin16
uhsas_0.107,bin17
uhsas_0.11,bin18
uhsas_0.113,bin19
uhsas_0.116,bin20
uhsas_0.119,bin21
uhsas_0.123,bin22
uhsas_0.126,bin23
uhsas_0.13,bin24
uhsas_0.134,bin25
uhsas_0.138,bin26
uhsas_0.142,bin27
uhsas_0.146,bin28
uhsas_0.15,bin29
uhsas_0.154,bin30
uhsas_0.159,bin31
uhsas_0.163,bin32
uhsas_0.168,bin33
uhsas_0.173,bin34
uhsas_0.178,bin35
uhsas_0.183,bin36
uhsas_0.188,bin37
uhsas_0.194,bin38
uhsas_0.199,bin39
uhsas_0.205,bin40
uhsas_0.211,bin41
uhsas_0.217,bin42
uhsas_0.223,bin43
uhsas_0.23,bin44
uhsas_0.236,bin45
uhsas_0.243,bin46
uhsas_0.25,bin47
uhsas_0.257,bin48
uhsas_0.265,bin49
uhsas_0.272,bin50
uhsas_0.28,bin51
uhsas_0.288,bin52
uhsas_0.296,bin53
uhsas_0.305,bin54
uhsas_0.314,bin55
uhsas_0.323,bin56
uhsas_0.332,bin57
uhsas_0.342,bin58
uhsas_0.352,bin59
uhsas_0.362,bin60
uhsas_0.372,bin61
uhsas_0.383,bin62
uhsas_0.394,bin63
uhsas_0.405,bin64
uhsas_0.417,bin65
uhsas_0.429,bin66
uhsas_0.441,bin67
uhsas_0.454,bin68
uhsas_0.467,bin69
uhsas_0.481,bin70
uhsas_0.494,bin71
uhsas_0.509,bin72
uhsas_0.523,bin73
uhsas_0.538,bin74
uhsas_0.554,bin75
uhsas_0.57,bin76
uhsas_0.586,bin77
uhsas_0.603,bin78
uhsas_0.621,bin79
uhsas_0.638,bin80
uhsas_0.657,bin81
uhsas_0.676,bin82
uhsas_0.695,bin83
uhsas_0.715,bin84
uhsas_0.736,bin85
uhsas_0.757,bin86
uhsas_0.779,bin87
uhsas_0.801,bin88
uhsas_0.825,bin89
uhsas_0.848,bin90
uhsas_0.873,bin91
uhsas_0.898,bin92
uhsas_0.924,bin93
uhsas_0.95,bin94
uhsas_0.978,bin95
uhsas_1.006,bin96
uhsas_1.035,bin97
uhsas_1.065,bin98
uhsas_1.096,bin99
psap_tbs_tr_corr,Sc450_total
psap_tgs_tr_corr,Sc550_total
psap_trs_tr_corr,Sc700_total
psap_tba_corr,Abs470_total
psap_tga_corr,Abs532_total
psap_tra_corr,Abs660_total
