campaign,train_dates,test_dates,hold_out
BBOP,"20130715, 20130717, 20130723, 20130725, 20130726, 20130730","20130719",0
ACMEV,"20150806, 20150807, 20150808, 20150825, 20150827, 20150904","20150802, 20150902",0
CACTI,"20181114","",0
TCAP2013,"20130207, 20130213, 20130215, 20130219, 20130220, 20130223, 20130225, 20130226, 20130227","20130218, 20130221",0
CARES,"20100612, 20100614, 20100615, 20100618, 20100619, 20100621, 20100623, 20100627, 20100628","20100608, 20100610",0
FIREXAQ,"20190725, 20190729, 20190730, 20190802, 20190803, 20190807, 20190808, 20190812, 20190813, 20190816, 20190819, 20190821, 20190823, 20190826, 20190829","20190717, 20190724, 20190806, 20190815",0
ASIA-AQ,"20240206, 20240207, 20240211, 20240213, 20240215, 20240217, 20240226, 20240310, 20240311, 20240313, 20240318, 20240321, 20240325","20240308, 20240316, 20240327",0
DC3,"20120519, 20120521, 20120525, 20120530, 20120601, 20120602, 20120605, 20120606, 20120607, 20120611, 20120616, 20120617, 20120621, 20120622","20120518, 20120526, 20120529, 20120615",0
NAAMES(2016),"20160530, 20160601","20160529",0
DISCOVERAQ-California,"20130116, 20130118, 20130120, 20130121, 20130128, 20130131, 20130201, 20130204","20130122, 20130206",0
NAAMES(2017),"20170904, 20170908, 20170909, 20170912, 20170916, 20170917","20170906, 20170919",0
DISCOVERAQ-Texas,"20130911, 20130912, 20130913, 20130914, 20130925, 20130926","20130906",0
NAAMES(2015),"20151112, 20151114, 20151117, 20151118","20151123",0
