campaign,train_dates,test_dates,hold_out
BBOP,"20130715, 20130717, 20130719, 20130725, 20130726, 20130730",20130723,0
ACMEV,"20150802, 20150806, 20150808, 20150825, 20150827, 20150902, 20150904",20150807,0
CACTI,20181114,,0
TCAP2013,"20130207, 20130218, 20130219, 20130220, 20130221, 20130223, 20130225, 20130226, 20130227","20130213, 20130215",1
CARES,"20100608, 20100610, 20100612, 20100614, 20100615, 20100618, 20100619, 20100623, 20100627, 20100628",20100621,0
FIREXAQ,"20190717, 20190724, 20190729, 20190730, 20190802, 20190806, 20190807, 20190812, 20190815, 20190816, 20190821, 20190823, 20190826, 20190829","20190725, 20190803, 20190808, 20190813",0
ASIA-AQ,"20240206, 20240207, 20240211, 20240213, 20240215, 20240217, 20240226, 20240308, 20240310, 20240311, 20240313, 20240318, 20240327","20240316, 20240321, 20240325",0
DC3,"20120518, 20120519, 20120525, 20120526, 20120529, 20120530, 20120601, 20120605, 20120606, 20120607, 20120611, 20120616","20120615, 20120622",0
DISCOVERAQ-California,"20130116, 20130120, 20130121, 20130122, 20130128, 20130131, 20130204, 20130206","20130118, 20130201",1
DISCOVERAQ-Texas,"20130906, 20130911, 20130912, 20130913, 20130914, 20130926",20130925,0
