original,new
UTC,UTC
Date,Date
aimms_Lat,Latitude
aimms_Lon,Longitude
aimms_Alt,Altitude
aimms_Temperature,Temperature
aimms_Humidity,Rel_humidity
aimms_Pressure,Pressure
aimms_v_w,U
aimms_u_w,V
aimms_w_w,W
,Supersaturation
,Number_Concentration
cpc_CPC_Conc_3025,CNgt3nm
cpc_CPC_Conc_3010,CNgt10nm
sp2_SP2_rBC_conc,BC_Mass
wcm_WCM_083(g/m3),LWC
cdp_C:2-3,cbin1
cdp_C:3-4,cbin2
cdp_C:4-5,cbin3
cdp_C:5-6,cbin4
cdp_C:6-7,cbin5
cdp_C:7-8,cbin6
cdp_C:8-9,cbin7
cdp_C:9-10,cbin8
cdp_C:10-11,cbin9
cdp_C:11-12,cbin10
cdp_C:12-13,cbin11
cdp_C:13-14,cbin12
cdp_C:14-16,cbin13
cdp_C:16-18,cbin14
cdp_C:18-20,cbin15
cdp_C:20-22,cbin16
cdp_C:22-24,cbin17
cdp_C:24-26,cbin18
cdp_C:26-28,cbin19
cdp_C:28-30,cbin20
cdp_C:30-32,cbin21
cdp_C:32-34,cbin22
cdp_C:34-36,cbin23
cdp_C:36-38,cbin24
cdp_C:38-40,cbin25
cdp_C:40-42,cbin26
cdp_C:42-44,cbin27
cdp_C:44-46,cbin28
cdp_C:46-48,cbin29
cdp_C:48-50,cbin30
uhsas_0.061,bin1
uhsas_0.063,bin2
uhsas_0.064,bin3
uhsas_0.066,bin4
uhsas_0.068,bin5
uhsas_0.070,bin6
uhsas_0.072,bin7
uhsas_0.074,bin8
uhsas_0.076,bin9
uhsas_0.079,bin10
uhsas_0.081,bin11
uhsas_0.083,bin12
uhsas_0.086,bin13
uhsas_0.088,bin14
uhsas_0.091,bin15
uhsas_0.093,bin16
uhsas_0.096,bin17
uhsas_0.099,bin18
uhsas_0.102,bin19
uhsas_0.104,bin20
uhsas_0.107,bin21
uhsas_0.111,bin22
uhsas_0.114,bin23
uhsas_0.117,bin24
uhsas_0.120,bin25
uhsas_0.124,bin26
uhsas_0.127,bin27
uhsas_0.131,bin28
uhsas_0.135,bin29
uhsas_0.139,bin30
uhsas_0.143,bin31
uhsas_0.147,bin32
uhsas_0.151,bin33
uhsas_0.155,bin34
uhsas_0.160,bin35
uhsas_0.165,bin36
uhsas_0.169,bin37
uhsas_0.174,bin38
uhsas_0.179,bin39
uhsas_0.184,bin40
uhsas_0.190,bin41
uhsas_0.195,bin42
uhsas_0.201,bin43
uhsas_0.207,bin44
uhsas_0.213,bin45
uhsas_0.219,bin46
uhsas_0.225,bin47
uhsas_0.231,bin48
uhsas_0.238,bin49
uhsas_0.245,bin50
uhsas_0.252,bin51
uhsas_0.259,bin52
uhsas_0.267,bin53
uhsas_0.274,bin54
uhsas_0.282,bin55
uhsas_0.291,bin56
uhsas_0.299,bin57
uhsas_0.308,bin58
uhsas_0.316,bin59
uhsas_0.325,bin60
uhsas_0.335,bin61
uhsas_0.345,bin62
uhsas_0.354,bin63
uhsas_0.365,bin64
uhsas_0.375,bin65
uhsas_0.386,bin66
uhsas_0.397,bin67
uhsas_0.409,bin68
uhsas_0.420,bin69
uhsas_0.432,bin70
uhsas_0.445,bin71
uhsas_0.458,bin72
uhsas_0.471,bin73
uhsas_0.485,bin74
uhsas_0.499,bin75
uhsas_0.513,bin76
uhsas_0.528,bin77
uhsas_0.543,bin78
uhsas_0.559,bin79
uhsas_0.575,bin80
uhsas_0.591,bin81
uhsas_0.608,bin82
uhsas_0.626,bin83
uhsas_0.644,bin84
uhsas_0.662,bin85
uhsas_0.681,bin86
uhsas_0.701,bin87
neph_Bs_B,Sc450_total
neph_Bs_G,Sc550_total
neph_Bs_R,Sc700_total
psap_Ba_B,Abs470_total
psap_Ba_G,Abs532_total
psap_Ba_R,Abs660_total
