original,new
UTC,UTC
Date,Date
AircraftPos_GpsLat_all,Latitude
AircraftPos_GpsLon_all,Longitude
AircraftPos_GpsAlt_all,Altitude
AircraftMet_AmbTemp_all,Temperature
AircraftMet_RelHumidity_all,Rel_humidity
AircraftMet_StaticPrs_all,Pressure
,U
,V
AircraftMet_VertWindSpd_all,W
CCN_Supersaturation_all,Supersaturation
CCN_CCN_Concentration_all,Number_Concentration
SP2_BC_ng_m3_all,BC_Mass
LWC_LWC_all,LWC
PAS_PAS_404_dry_STP_all,Sc450_total
PAS_PAS_532_dry_STP_all,Sc550_total
PAS_PAS_660_dry_STP_all,Sc700_total
PSAP_PSAP_blue_sr_all,Abs470_total
PSAP_PSAP_green_sr_all,Abs532_total
PSAP_PSAP_red_sr_all,Abs660_total
