original,new
UTC,UTC
Date,Date
convair_LAT_0,Latitude
convair_LON_0,Longitude
radiometer_Altit,Altitude
psap_T_Ambient,Temperature
psap_RH_Ambient,Rel_humidity
psap_P_ambient,Pressure
,U
,V
,W
,Supersaturation
,Number_Concentration
,CNgt3nm
,CNgt10nm
,BC_Mass
,LWC
cdp_2um,cbin1
cdp_3um,cbin2
cdp_4um,cbin3
cdp_5um,cbin4
cdp_6um,cbin5
cdp_7um,cbin6
cdp_8um,cbin7
cdp_9um,cbin8
cdp_10um,cbin9
cdp_11um,cbin10
cdp_12um,cbin11
cdp_13um,cbin12
cdp_14um,cbin13
cdp_16um,cbin14
cdp_18um,cbin15
cdp_20um,cbin16
cdp_22um,cbin17
cdp_24um,cbin18
cdp_26um,cbin19
cdp_28um,cbin20
cdp_30um,cbin21
cdp_32um,cbin22
cdp_34um,cbin23
cdp_36um,cbin24
cdp_38um,cbin25
cdp_40um,cbin26
cdp_42um,cbin27
cdp_44um,cbin28
cdp_46um,cbin29
cdp_48um,cbin30
uhsas-1_UHSASchan01,bin1
uhsas-1_UHSASchan02,bin2
uhsas-1_UHSASchan03,bin3
uhsas-1_UHSASchan04,bin4
uhsas-1_UHSASchan05,bin5
uhsas-1_UHSASchan06,bin6
uhsas-1_UHSASchan07,bin7
uhsas-1_UHSASchan08,bin8
uhsas-1_UHSASchan09,bin9
uhsas-1_UHSASchan10,bin10
uhsas-1_UHSASchan11,bin11
uhsas-1_UHSASchan12,bin12
uhsas-1_UHSASchan13,bin13
uhsas-1_UHSASchan14,bin14
uhsas-1_UHSASchan15,bin15
uhsas-1_UHSASchan16,bin16
uhsas-1_UHSASchan17,bin17
uhsas-1_UHSASchan18,bin18
uhsas-1_UHSASchan19,bin19
uhsas-1_UHSASchan20,bin20
uhsas-1_UHSASchan21,bin21
uhsas-1_UHSASchan22,bin22
uhsas-1_UHSASchan23,bin23
uhsas-1_UHSASchan24,bin24
uhsas-1_UHSASchan25,bin25
uhsas-1_UHSASchan26,bin26
uhsas-1_UHSASchan27,bin27
uhsas-1_UHSASchan28,bin28
uhsas-1_UHSASchan29,bin29
uhsas-1_UHSASchan30,bin30
uhsas-1_UHSASchan31,bin31
uhsas-1_UHSASchan32,bin32
uhsas-1_UHSASchan33,bin33
uhsas-1_UHSASchan34,bin34
uhsas-1_UHSASchan35,bin35
uhsas-1_UHSASchan36,bin36
uhsas-1_UHSASchan37,bin37
uhsas-1_UHSASchan38,bin38
uhsas-1_UHSASchan39,bin39
uhsas-1_UHSASchan40,bin40
uhsas-1_UHSASchan41,bin41
uhsas-1_UHSASchan42,bin42
uhsas-1_UHSASchan43,bin43
uhsas-1_UHSASchan44,bin44
uhsas-1_UHSASchan45,bin45
uhsas-1_UHSASchan46,bin46
uhsas-1_UHSASchan47,bin47
uhsas-1_UHSASchan48,bin48
uhsas-1_UHSASchan49,bin49
uhsas-2_UHSASchan50,bin50
uhsas-2_UHSASchan51,bin51
uhsas-2_UHSASchan52,bin52
uhsas-2_UHSASchan53,bin53
uhsas-2_UHSASchan54,bin54
uhsas-2_UHSASchan55,bin55
uhsas-2_UHSASchan56,bin56
uhsas-2_UHSASchan57,bin57
uhsas-2_UHSASchan58,bin58
uhsas-2_UHSASchan59,bin59
uhsas-2_UHSASchan60,bin60
uhsas-2_UHSASchan61,bin61
uhsas-2_UHSASchan62,bin62
uhsas-2_UHSASchan63,bin63
uhsas-2_UHSASchan64,bin64
uhsas-2_UHSASchan65,bin65
uhsas-2_UHSASchan66,bin66
uhsas-2_UHSASchan67,bin67
uhsas-2_UHSASchan68,bin68
uhsas-2_UHSASchan69,bin69
uhsas-2_UHSASchan70,bin70
uhsas-2_UHSASchan71,bin71
uhsas-2_UHSASchan72,bin72
uhsas-2_UHSASchan73,bin73
uhsas-2_UHSASchan74,bin74
uhsas-2_UHSASchan75,bin75
uhsas-2_UHSASchan76,bin76
uhsas-2_UHSASchan77,bin77
uhsas-2_UHSASchan78,bin78
uhsas-2_UHSASchan79,bin79
uhsas-2_UHSASchan80,bin80
uhsas-2_UHSASchan81,bin81
uhsas-2_UHSASchan82,bin82
uhsas-2_UHSASchan83,bin83
uhsas-2_UHSASchan84,bin84
uhsas-2_UHSASchan85,bin85
uhsas-2_UHSASchan86,bin86
uhsas-2_UHSASchan87,bin87
uhsas-2_UHSASchan88,bin88
uhsas-2_UHSASchan89,bin89
uhsas-2_UHSASchan90,bin90
uhsas-2_UHSASchan91,bin91
uhsas-2_UHSASchan92,bin92
uhsas-2_UHSASchan93,bin93
uhsas-2_UHSASchan94,bin94
uhsas-2_UHSASchan95,bin95
uhsas-2_UHSASchan96,bin96
uhsas-2_UHSASchan97,bin97
uhsas-2_UHSASchan98,bin98
uhsas-2_UHSASchan99,bin99
psap_RefBsp_B,Sc450_total
psap_RefBsp_G,Sc550_total
psap_RefBsp_R,Sc700_total
psap_Bap_B_3W,Abs470_total
psap_Bap_G_3W,Abs532_total
psap_Bap_R_3W,Abs660_total
