original,new
UTC,UTC
Date,Date
nephelometer_lats,Latitude
nephelometer_lons,Longitude
nephelometer_alts,Altitude
nephelometer_tmet,Temperature
nephelometer_met_RH,Rel_humidity
nephelometer_pmet,Pressure
,U
,V
iwg-1_Vert_Wind_Spd,W
ccn_SS(%)_A,Supersaturation
ccn_CCN_Conc_A,Number_Concentration
cpc_3025_Conc_(#/cm3),CNgt3nm
cpc_3010_Conc_(#/cm3),CNgt10nm
sp2_ng/m3,BC_Mass
cdp_LWC(g/2),LWC
cdp_2.00000,cbin1
cdp_3.00000,cbin2
cdp_4.00000,cbin3
cdp_5.00000,cbin4
cdp_6.00000,cbin5
cdp_7.00000,cbin6
cdp_8.00000,cbin7
cdp_9.00000,cbin8
cdp_10.0000,cbin9
cdp_11.0000,cbin10
cdp_12.0000,cbin11
cdp_13.0000,cbin12
cdp_14.0000,cbin13
cdp_16.0000,cbin14
cdp_18.0000,cbin15
cdp_20.0000,cbin16
cdp_22.0000,cbin17
cdp_24.0000,cbin18
cdp_26.0000,cbin19
cdp_28.0000,cbin20
cdp_30.0000,cbin21
cdp_32.0000,cbin22
cdp_34.0000,cbin23
cdp_36.0000,cbin24
cdp_38.0000,cbin25
cdp_40.0000,cbin26
cdp_42.0000,cbin27
cdp_44.0000,cbin28
cdp_46.0000,cbin29
cdp_48.0000,cbin30
,bin1
,bin2
,bin3
,bin4
,bin5
,bin6
,bin7
,bin8
,bin9
,bin10
,bin11
,bin12
,bin13
,bin14
,bin15
nephelometer_tbs,Sc450_total
nephelometer_tgs,Sc550_total
nephelometer_trs,Sc700_total
psap_ Ba_B,Abs470_total
psap_ Ba_G,Abs532_total
psap_ Ba_R,Abs660_total
