instrument_name,path_to_instrument_folder,has_header_info,has_header,header_start,time_header_name,time_format,separator,file_type,column_names
fcdp,C:\Users\haika\Desktop\May_Research\campaign_data\CACTI\fcdp,TRUE,TRUE,last,start_time,S,",",ict,start_time;total_number_concentration;number_concentration 0.0-1.5;number_concentration_1.5-3.0;number_concentration_3.0-4.5;number_concentration_4.5-6.0;number_concentration_6.0-8.0;number_concentration_8.0-10.0;number_concentration_10.0-12.0;number_concentration_12.0-14.0;number_concentration_14.0-16.0;number_concentration_16.0-18.0;number_concentration_18.0-21.0;number_concentration_21.0-24.0;number_concentration_24.0-27.0;number_concentration_27.0-30.0;number_concentration_30.0-33.0;number_concentration_33.0-36.0;number_concentration_36.0-39.0;number_concentration_39.0-42.0;number_concentration_42.0-46.0;number_concentration_46.0-50.0;number_concentration_50.0-150.0;lat;lon;alt
cip,C:\Users\haika\Desktop\May_Research\campaign_data\CACTI\cip,TRUE,TRUE,last,start_time,S,",",ict,start_time;diode_1;qc_diode_1;diode_32;qc_diode_32;diode_64;qc_diode_64;p_pitot;p_static;lwc_volt;lwc_slave_volt;lwc_hw;temp_dsp;relative_humidity;spare_volt;temperature;laser_current;qc_laser_current;laser_power;qc_laser_power;counts_12.5-37.5;counts_37.5-62.5;counts_62.5-87.5;counts_87.5-112.5;counts_112.5-137.5;counts_137.5-162.5;counts_162.5-187.5;counts_187.5-212.5;counts_212.5-237.5;counts_237.5-262.5;counts_262.5-287.5;counts_287.5-312.5;counts_312.5-337.5;counts_337.5-362.5;counts_362.5-387.5;counts_387.5-412.5;counts_412.5-437.5;counts_437.5-462.5;counts_462.5-487.5;counts_487.5-512.5;counts_512.5-537.5;counts_537.5-562.5;counts_562.5-587.5;counts_587.5-612.5;counts_612.5-637.5;counts_637.5-662.5;counts_662.5-687.5;counts_687.5-712.5;counts_712.5-737.5;counts_737.5-762.5;counts_762.5-787.5;counts_787.5-812.5;counts_812.5-837.5;counts_837.5-862.5;counts_862.5-887.5;counts_887.5-912.5;counts_912.5-937.5;counts_937.5-962.5;counts_962.5-987.5;counts_987.5-1012.5;counts_1012.5-1037.5;counts_1037.5-1062.5;counts_1062.5-1087.5;counts_1087.5-1112.5;counts_1112.5-1137.5;counts_1137.5-1162.5;counts_1162.5-1187.5;counts_1187.5-1212.5;counts_1212.5-1237.5;counts_1237.5-1262.5;counts_1262.5-1287.5;counts_1287.5-1312.5;counts_1312.5-1337.5;counts_1337.5-1362.5;counts_1362.5-1387.5;counts_1387.5-1412.5;counts_1412.5-1437.5;counts_1437.5-1462.5;counts_1462.5-1487.5;counts_1487.5-1512.5;counts_1512.5-1537.5;counts_1537.5-1562.5;qc_counts_12.5-37.5;qc_counts_37.5-62.5;qc_counts_62.5-87.5;qc_counts_87.5-112.5;qc_counts_112.5-137.5;qc_counts_137.5-162.5;qc_counts_162.5-187.5;qc_counts_187.5-212.5;qc_counts_212.5-237.5;qc_counts_237.5-262.5;qc_counts_262.5-287.5;qc_counts_287.5-312.5;qc_counts_312.5-337.5;qc_counts_337.5-362.5;qc_counts_362.5-387.5;qc_counts_387.5-412.5;qc_counts_412.5-437.5;qc_counts_437.5-462.5;qc_counts_462.5-487.5;qc_counts_487.5-512.5;qc_counts_512.5-537.5;qc_counts_537.5-562.5;qc_counts_562.5-587.5;qc_counts_587.5-612.5;qc_counts_612.5-637.5;qc_counts_637.5-662.5;qc_counts_662.5-687.5;qc_counts_687.5-712.5;qc_counts_712.5-737.5;qc_counts_737.5-762.5;qc_counts_762.5-787.5;qc_counts_787.5-812.5;qc_counts_812.5-837.5;qc_counts_837.5-862.5;qc_counts_862.5-887.5;qc_counts_887.5-912.5;qc_counts_912.5-937.5;qc_counts_937.5-962.5;qc_counts_962.5-987.5;qc_counts_987.5-1012.5;qc_counts_1012.5-1037.5;qc_counts_1037.5-1062.5;qc_counts_1062.5-1087.5;qc_counts_1087.5-1112.5;qc_counts_1112.5-1137.5;qc_counts_1137.5-1162.5;qc_counts_1162.5-1187.5;qc_counts_1187.5-1212.5;qc_counts_1212.5-1237.5;qc_counts_1237.5-1262.5;qc_counts_1262.5-1287.5;qc_counts_1287.5-1312.5;qc_counts_1312.5-1337.5;qc_counts_1337.5-1362.5;qc_counts_1362.5-1387.5;qc_counts_1387.5-1412.5;qc_counts_1412.5-1437.5;qc_counts_1437.5-1462.5;qc_counts_1462.5-1487.5;qc_counts_1487.5-1512.5;qc_counts_1512.5-1537.5;qc_counts_1537.5-1562.5;lat;qc_lat;lon;qc_lon;alt;qc_alt
neph,C:\Users\haika\Desktop\May_Research\campaign_data\CACTI\neph,TRUE,TRUE,last,start_time,S,",",ict,start_time;stop_time;Bs_B;qc_Bs_B;Bs_G;qc_Bs_G;Bs_R;qc_Bs_R;Bbs_B;qc_Bbs_B;Bbs_G;qc_Bbs_G;Bbs_R;qc_Bbs_R;P_sample;qc_P_sample;T_sample;qc_T_sample;T_inlet;qc_T_inlet;RH_sample;qc_RH_sample;measurement_state;mode_state;instrument_state;lamp_voltage;lamp_current;density_correction_factor;lat;qc_lat;lon;qc_lon;alt;qc_alt
ccn,C:\Users\haika\Desktop\May_Research\campaign_data\CACTI\ccn,TRUE,TRUE,last,start_time,S,",",ict,start_time;CCN_supersaturation_set_point_1;CCN_temp_unstable_1;CCN_temperature_gradient_1;CCN_T_set_TEC1_1;CCN_T_read_TEC1_1;CCN_T_set_TEC2_1;CCN_T_read_TEC2_1;CCN_T_set_TEC3_1;CCN_T_read_TEC3_1;CCN_T_nafion_set_1;CCN_T_nafion_1;CCN_T_inlet_set_1;CCN_T_inlet_1;CCN_OPC_set_1;CCN_T_OPC_1;CCN_T_sample_1;CCN_Q_sample_1;CCN_Q_sheath_1;CCN_P_sample_1;CCN_laser_current_1;CCN_overflow_1;CCN_baseline_monitor_1;CCN_first_stage_monitor_voltage_1;N_CCN_1;N_CCN_bin_number_1;N_CCN_dN_1_0.0-0.75;N_CCN_dN_1_0.75-1.0;N_CCN_dN_1_1.0-1.5;N_CCN_dN_1_1.5-2.0;N_CCN_dN_1_2.0-2.5;N_CCN_dN_1_2.5-3.0;N_CCN_dN_1_3.0-3.5;N_CCN_dN_1_3.5-4.0;N_CCN_dN_1_4.0-4.5;N_CCN_dN_1_4.5-5.0;N_CCN_dN_1_5.0-5.5;N_CCN_dN_1_5.5-6.0;N_CCN_dN_1_6.0-6.5;N_CCN_dN_1_6.5-7.0;N_CCN_dN_1_7.0-7.5;N_CCN_dN_1_7.5-8.0;N_CCN_dN_1_8.0-8.5;N_CCN_dN_1_8.5-9.0;N_CCN_dN_1_9.0-9.5;N_CCN_dN_1_9.5-10.0;CCN_proportional_valve_voltage_1;CCN_supersaturation_set_point_2;CCN_temp_unstable_2;CCN_temperature_gradient_2;CCN_T_set_TEC1_2;CCN_T_read_TEC1_2;CCN_T_set_TEC2_2;CCN_T_read_TEC2_2;CCN_T_set_TEC3_2;CCN_T_read_TEC3_2;CCN_T_nafion_set_2;CCN_T_nafion_2;CCN_T_inlet_set_2;CCN_T_inlet_2;CCN_OPC_set_2;CCN_T_OPC_2;CCN_T_sample_2;CCN_Q_sample_2;CCN_Q_sheath_2;CCN_P_sample_2;CCN_laser_current_2;CCN_overflow_2;CCN_baseline_monitor_2;CCN_first_stage_monitor_voltage_2;N_CCN_2;N_CCN_bin_number_2;N_CCN_dN_2_0.0-0.75;N_CCN_dN_2_0.75-1.0;N_CCN_dN_2_1.0-1.5;N_CCN_dN_2_1.5-2.0;N_CCN_dN_2_2.0-2.5;N_CCN_dN_2_2.5-3.0;N_CCN_dN_2_3.0-3.5;N_CCN_dN_2_3.5-4.0;N_CCN_dN_2_4.0-4.5;N_CCN_dN_2_4.5-5.0;N_CCN_dN_2_5.0-5.5;N_CCN_dN_2_5.5-6.0;N_CCN_dN_2_6.0-6.5;N_CCN_dN_2_6.5-7.0;N_CCN_dN_2_7.0-7.5;N_CCN_dN_2_7.5-8.0;N_CCN_dN_2_8.0-8.5;N_CCN_dN_2_8.5-9.0;N_CCN_dN_2_9.0-9.5;N_CCN_dN_2_9.5-10.0;CCN_proportional_valve_voltage_2;CCN_alarm_code_1;CCN_alarm_code_2
sp2rbc,C:\Users\haika\Desktop\May_Research\campaign_data\CACTI\sp2rbc,TRUE,TRUE,last,start_time,S,",",ict,start_time;stop_time;rBC;qc_rBC;N_dN_rBC_0.0025-0.0025000013;N_dN_rBC_0.0025000004-0.0025000004;N_dN_rBC_0.0024999995-0.0025000013;N_dN_rBC_0.0024999995-0.0025000013;N_dN_rBC_0.0024999995-0.0024999976;N_dN_rBC_0.0025000013-0.0025000013;N_dN_rBC_0.0025000013-0.0024999976;N_dN_rBC_0.0025000013-0.0024999976;N_dN_rBC_0.0025000013-0.0025000013;N_dN_rBC_0.0025000013-0.0024999976;N_dN_rBC_0.0025000013-0.0025000013;N_dN_rBC_0.0025000013-0.0024999976;N_dN_rBC_0.0024999976-0.002500005;N_dN_rBC_0.0024999976-0.002500005;N_dN_rBC_0.0024999976-0.002500005;N_dN_rBC_0.0024999976-0.002500005;N_dN_rBC_0.0024999976-0.002500005;N_dN_rBC_0.0024999976-0.002500005;N_dN_rBC_0.0024999976-0.002500005;N_dN_rBC_0.0024999976-0.002500005;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.002500005-0.002500005;N_dN_rBC_0.0024999976-0.002500005;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0024999976;N_dN_rBC_0.0024999976-0.0025000572;N_dN_rBC_0.002499938-0.0025000572;lat;lon;alt
psap,C:\Users\haika\Desktop\May_Research\campaign_data\CACTI\psap,TRUE,TRUE,last,start_time,S,",",ict,start_time;stop_time;filter_unstable;sample_volume;qc_sample_volume;transmittance_blue;qc_transmittance_blue;transmittance_green;qc_transmittance_green;transmittance_red;qc_transmittance_red;Ba_B_raw;qc_Ba_B_raw;Ba_G_raw;qc_Ba_G_raw;Ba_R_raw;qc_Ba_R_raw;Ba_B_Weiss;qc_Ba_B_Weiss;Ba_G_Weiss;qc_Ba_G_Weiss;Ba_R_Weiss;qc_Ba_R_Weiss;sample_flow_rate;qc_sample_flow_rate;lat;qc_lat;lon;qc_lon;alt;qc_alt
metaims,C:\Users\haika\Desktop\May_Research\campaign_data\CACTI\metaims,TRUE,TRUE,last,start_time,S,",",ict,start_time;stop_time;static_pressure;qc_static_pressure;static_temperature;qc_static_temperature;wind_speed;qc_wind_speed;wind_direction;qc_wind_direction;wind_u;qc_wind_u;wind_v;qc_wind_v;wind_w;qc_wind_w;purge_status;counter;lat;qc_lat;lon;qc_lon;alt;qc_alt
uhsas,C:\Users\haika\Desktop\May_Research\campaign_data\CACTI\uhsas,TRUE,TRUE,last,Start_Time_(UTC),S,",",ict,Start_Time_(UTC);0.061;0.063;0.064;0.066;0.068;0.070;0.072;0.074;0.076;0.079;0.081;0.083;0.086;0.088;0.091;0.093;0.096;0.099;0.102;0.104;0.107;0.111;0.114;0.117;0.120;0.124;0.127;0.131;0.135;0.139;0.143;0.147;0.151;0.155;0.160;0.165;0.169;0.174;0.179;0.184;0.190;0.195;0.201;0.207;0.213;0.219;0.225;0.231;0.238;0.245;0.252;0.259;0.267;0.274;0.282;0.291;0.299;0.308;0.316;0.325;0.335;0.345;0.354;0.365;0.375;0.386;0.397;0.409;0.420;0.432;0.445;0.458;0.471;0.485;0.499;0.513;0.528;0.543;0.559;0.575;0.591;0.608;0.626;0.644;0.662;0.681;0.701;0.721;0.742;0.763;0.785;0.808;0.831;0.855;0.880;0.905;0.932;0.958;0.986;Num_Conc_(#/cm^3);Area_Conc_(um^2/cm^3);Vol_Conc_(um^3/cm^3);Counts;Noise;Total;Max_Flag;CloudFlag
pvm,C:\Users\haika\Desktop\May_Research\campaign_data\CACTI\pvm,FALSE,TRUE,last,Hour,[Hour][Minute][Second],",",csv,Year;Month;Day;Hour;Minute;Second;Epoch;PSA;LWC;Re
iwg1,C:\Users\haika\Desktop\May_Research\campaign_data\CACTI\iwg1,FALSE,TRUE,last,Date_Time,YYYY-MM-DD HH:MM:SS,",",txt,IWG1;Date_Time;Lat;Lon;GPS_MSL_Alt;WGS_84_Alt;Press_Alt;Radar_Alt;Grnd_Spd;True_Airspeed;Indicated_Airspeed;Mach_Number;Vert_Velocity;True_Hdg;Track;Drift;Pitch;Roll;Side_slip;Angle_of_Attack;Ambient_Temp;Dew_Point;Total_Temp;Static_Press;Dynamic_Press;Cabin_Pressure;Wind_speed;Wind_Dir;Vert_Wind_Spd;Solar_Zenith;Sun_Elev_AC;Sun_Az_Grd;Sun_Az_AC;Flag_qc;Flag_ac;Flag_cloud;RH_water;RH_ice;Theta;Cabin_Temperature;Leg_num
